WallSizeWidth,WallSizeHeight,SortLayer,,,,
7,7,-1,,,,
,,,,,,
,,,,,,
"1,-1","0,-1","0,-1","0,-1","0,-1","0,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"3,-1","1,5","6,5","6,5","6,5","6,5","4,-1"
,,,,,,
ShapeSize,1,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,
0,15.5000305,21.5,314.999969,313.000031,,
