WallSizeWidth,WallSizeHeight,SortLayer,,,,
7,7,-1,,,,
,,,,,,
,,,,,,
"1,-1","0,-1","0,-1","0,-1","0,-1","0,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"3,-1","0,-1","0,-1","0,-1","0,-1","0,-1","-1,-1"
,,,,,,
ShapeSize,1,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,
0,35.5000305,29.4999924,291.000031,295.999969,,
