"RESOURCE_TYPE(0: 텍스처 , 1: 폰트,2: 사운드 클립 3: 애니메이션 클립, 4:Sprite Font",RESOURCE_PATH
3,Animations/EnemyBulletBlink.csv
3,Animations/EnemyBulletIdle.csv
3,playercsv/PilotIdleDown.csv
3,playercsv/PilotIdleRight.csv
3,playercsv/PilotIdleUp.csv
3,playercsv/PilotIdleUpRight.csv
3,playercsv/PilotRollDown.csv
3,playercsv/PilotRollRight.csv
3,playercsv/PilotRollUpRight.csv
3,playercsv/PilotRollUp.csv
3,playercsv/PilotWalkDown.csv
3,playercsv/PilotWalkRight.csv
3,playercsv/PilotWalkUp.csv
3,playercsv/PilotWalkUpRight.csv
3,playercsv/PilotShoot.csv
3,bulletcsv/PilotBullet.csv
0,graphics/PilotBullet.png
0,graphics/Shadow.png
3,playercsv/PrisonerdleDown.csv
3,playercsv/PrisonerIdleRight.csv
3,playercsv/PrisonerIdleUp.csv
3,playercsv/PrisonerIdleUpRight.csv
3,playercsv/PrisonerRollDown.csv
3,playercsv/PrisonerRollRight.csv
3,playercsv/PrisonerRollUpRight.csv
3,playercsv/PrisonerRollUp.csv
3,playercsv/PrisonerWalkDown.csv
3,playercsv/PrisonerWalkRight.csv
3,playercsv/PrisonerWalkUp.csv
3,playercsv/PrisonerWalkUpRight.csv
